Experiment Name:,Exp_20200528_1

Tube Name:,Record Time:,Volume(μL):,All Events  Events/μL(V),HB Events/μL(V),Time Events/μL(V),Cells Events/μL(V),P2 Events/μL(V),P3 Events/μL(V),P1 Events/μL(V),Bac Events/μL(V),All Events ,HB Events,Time Events,Cells Events,P2 Events,P3 Events,P1 Events,Bac Events,All Events  % Parent,HB % Parent,Time % Parent,Cells % Parent,P2 % Parent,P3 % Parent,P1 % Parent,Bac % Parent,All Events  % Total,HB % Total,Time % Total,Cells % Total,P2 % Total,P3 % Total,P1 % Total,Bac % Total,All Events  Mean FSC-H,HB Mean FSC-H,Time Mean FSC-H,Cells Mean FSC-H,P2 Mean FSC-H,P3 Mean FSC-H,P1 Mean FSC-H,Bac Mean FSC-H,All Events  Mean BL525-H,HB Mean BL525-H,Time Mean BL525-H,Cells Mean BL525-H,P2 Mean BL525-H,P3 Mean BL525-H,P1 Mean BL525-H,Bac Mean BL525-H,All Events  Mean BL690-H,HB Mean BL690-H,Time Mean BL690-H,Cells Mean BL690-H,P2 Mean BL690-H,P3 Mean BL690-H,P1 Mean BL690-H,Bac Mean BL690-H,All Events  rSD BL525-H,HB rSD BL525-H,Time rSD BL525-H,Cells rSD BL525-H,P2 rSD BL525-H,P3 rSD BL525-H,P1 rSD BL525-H,Bac rSD BL525-H
B9 blank,2020-05-28 12:44:19,10.0,8.20,2.40,6.83,6.50,8.20,0.20,0.00,3.30,82,24,66,65,82,2,0,33,100.00%,72.73%,80.49%,98.48%,100.00%,6.06%,0.00%,50.77%,100.00%,29.27%,80.49%,79.27%,100.00%,2.44%,0.00%,40.24%,31031.8,2672.1,2968.8,2995.4,31031.8,3307.7,####,2832.7,95971.2,123265.8,77120.4,78145.5,95971.2,36010.0,####,103408.0,12951.0,3250.7,4878.1,4945.3,12951.0,6106.5,####,4932.0,32831.1,54311.3,35181.3,36770.1,32831.1,14248.1,####,47288.3
B10 S_T5_R1_2,2020-05-28 12:45:40,10.0,285.84,120.72,285.73,271.54,285.64,7.00,1.90,137.22,2858,1207,2761,2715,2856,70,19,1372,100.00%,87.97%,96.61%,98.33%,99.93%,5.10%,1.38%,50.53%,100.00%,42.23%,96.61%,95.00%,99.93%,2.45%,0.66%,48.01%,3359.4,2637.4,2579.6,2589.5,3217.9,2759.6,4115.3,2679.1,110285.8,133640.5,102604.9,104087.2,106829.7,39750.4,169990.0,125238.5,6130.3,3712.7,4031.1,4089.5,4667.6,3776.3,58309.3,4585.0,54233.2,71885.8,54239.4,54381.9,54318.9,20821.3,40526.9,70313.8
B11 S_T5_R2_2,2020-05-28 12:47:01,10.0,211.40,79.90,205.94,195.10,211.30,5.30,1.90,93.90,2114,799,1990,1951,2113,53,19,939,100.00%,85.09%,94.13%,98.04%,99.95%,5.64%,2.02%,48.13%,100.00%,37.80%,94.13%,92.29%,99.95%,2.51%,0.90%,44.42%,3380.2,2744.3,2584.9,2594.9,3376.5,2838.1,3887.3,2781.2,124193.9,162459.9,121740.5,123706.4,123178.7,39801.5,199586.1,153362.2,4998.0,4394.4,4396.0,4468.4,4972.7,3568.2,57931.1,5528.1,61897.4,88059.3,62111.8,62967.1,61744.2,14208.8,61542.9,87391.3
B12 S_T6_R1_2,2020-05-28 12:48:23,10.0,78.10,29.10,79.79,74.70,77.90,1.90,0.40,34.30,781,291,771,747,779,19,4,343,100.00%,84.84%,98.72%,96.89%,99.74%,5.54%,1.17%,45.92%,100.00%,37.26%,98.72%,95.65%,99.74%,2.43%,0.51%,43.92%,3757.7,2628.9,2475.1,2493.6,3264.4,3141.7,3500.2,2689.8,98199.4,98985.2,85684.3,87906.0,85367.6,45609.9,194559.6,95640.0,7389.8,2974.8,3820.9,3923.0,3994.9,4331.9,49439.8,3931.2,57501.5,58855.4,57828.1,57597.8,57428.8,22004.3,33811.7,60602.6
C1 S_T6_R2_1,2020-05-28 12:49:46,10.0,220.67,81.27,224.34,209.20,220.67,4.09,1.70,93.23,2213,815,2174,2098,2213,41,17,935,100.00%,87.17%,98.24%,96.50%,100.00%,4.39%,1.82%,44.57%,100.00%,36.83%,98.24%,94.80%,100.00%,1.85%,0.77%,42.25%,4447.9,2634.1,2426.5,2443.6,4447.9,2799.1,4053.5,2681.6,87010.7,116894.5,86504.6,89062.6,87010.7,38599.4,232044.9,112094.1,3992.8,3317.7,3739.9,3855.5,3992.8,3798.1,68803.0,4923.0,54056.8,57960.9,54131.8,53570.0,54056.8,22388.4,114829.1,59848.1
C2 S_T7_R1_1,2020-05-28 12:51:08,10.0,348.21,186.06,333.02,319.60,348.01,15.00,0.90,206.26,3481,1860,3218,3195,3479,150,9,2062,100.00%,90.20%,92.44%,99.29%,99.94%,7.27%,0.44%,64.54%,100.00%,53.43%,92.44%,91.78%,99.94%,4.31%,0.26%,59.24%,3385.0,2953.7,2818.4,2827.7,3364.3,2625.6,3997.2,2936.7,239657.1,276790.1,231510.5,233025.8,238486.8,24701.0,239219.3,253839.0,6882.8,6898.3,6533.4,6574.9,6841.6,2875.5,80316.5,6896.2,159576.1,83687.1,159778.0,157279.4,159320.0,8535.2,127774.9,101892.6
C3 S_T7_R2_1,2020-05-28 12:52:29,10.0,185.30,96.00,190.83,182.60,185.10,9.00,0.60,108.80,1853,960,1844,1826,1851,90,6,1088,100.00%,88.24%,99.51%,99.02%,99.89%,8.27%,0.55%,59.58%,100.00%,51.81%,99.51%,98.54%,99.89%,4.86%,0.32%,58.72%,2813.4,2819.1,2670.5,2680.2,2794.2,2648.8,3560.8,2820.7,206483.4,253976.1,199348.3,201150.9,204170.6,26180.8,214069.0,229993.9,5909.9,6133.1,5665.4,5715.3,5847.5,3045.8,54682.1,6236.7,192198.9,109560.2,190489.9,190023.2,191136.5,9475.1,51983.5,147979.6
C4 S_T8_R1_1,2020-05-28 12:53:51,10.0,497.60,309.50,504.18,485.00,496.60,16.10,1.30,329.80,4976,3095,4872,4850,4966,161,13,3298,100.00%,93.84%,97.91%,99.55%,99.80%,4.88%,0.39%,68.00%,100.00%,62.20%,97.91%,97.47%,99.80%,3.24%,0.26%,66.28%,3228.8,2907.7,2805.3,2809.3,3159.6,2836.3,4199.7,2912.7,256761.5,279498.8,245897.4,246930.3,252723.6,26833.9,178648.7,264776.7,7499.6,6947.9,6619.3,6646.2,7310.3,3255.9,54954.3,6949.4,105954.1,74751.4,104792.2,103873.5,105915.4,10147.7,43792.6,82070.7
C5 S_T8_R2_1,2020-05-28 12:55:13,10.0,376.51,216.41,370.48,356.11,376.21,11.30,1.10,231.51,3765,2164,3580,3561,3762,113,11,2315,100.00%,93.48%,95.09%,99.47%,99.92%,4.88%,0.48%,65.01%,100.00%,57.48%,95.09%,94.58%,99.92%,3.00%,0.29%,61.49%,3221.6,3031.3,2862.7,2866.9,3183.9,2798.6,4120.4,3030.9,244037.5,274633.6,239190.5,240342.9,241146.8,27248.5,204127.5,260048.9,7147.1,6739.4,6506.6,6536.8,6985.0,3355.9,50346.9,6805.7,105758.0,75378.6,104037.8,103327.3,105702.7,10507.6,50996.9,82857.5
C6 blank,2020-05-28 12:56:34,10.0,7.50,2.80,7.04,6.80,7.50,0.30,0.00,3.20,75,28,68,68,75,3,0,32,100.00%,87.50%,90.67%,100.00%,100.00%,9.38%,0.00%,47.06%,100.00%,37.33%,90.67%,90.67%,100.00%,4.00%,0.00%,42.67%,16922.9,2845.4,3114.9,3114.9,16922.9,2760.0,####,2801.8,156087.6,242830.3,153821.3,153821.3,156087.6,19977.0,####,214675.0,8858.9,6377.8,5163.9,5163.9,8858.9,3665.6,####,6089.5,138705.7,105447.9,153601.2,153601.2,138705.7,180.1,####,143786.5
