Experiment Name:,Exp_20200528_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tube Name:,Record Time:,Volume(£gL):,All Events  Events/£gL(V),HB Events/£gL(V),Time Events/£gL(V),Cells Events/£gL(V),P2 Events/£gL(V),P3 Events/£gL(V),P1 Events/£gL(V),Bac Events/£gL(V),All Events ,HB Events,Time Events,Cells Events,P2 Events,P3 Events,P1 Events,Bac Events,All Events  % Parent,HB % Parent,Time % Parent,Cells % Parent,P2 % Parent,P3 % Parent,P1 % Parent,Bac % Parent,All Events  % Total,HB % Total,Time % Total,Cells % Total,P2 % Total,P3 % Total,P1 % Total,Bac % Total,All Events  Mean FSC-H,HB Mean FSC-H,Time Mean FSC-H,Cells Mean FSC-H,P2 Mean FSC-H,P3 Mean FSC-H,P1 Mean FSC-H,Bac Mean FSC-H,All Events  Mean BL525-H,HB Mean BL525-H,Time Mean BL525-H,Cells Mean BL525-H,P2 Mean BL525-H,P3 Mean BL525-H,P1 Mean BL525-H,Bac Mean BL525-H,All Events  Mean BL690-H,HB Mean BL690-H,Time Mean BL690-H,Cells Mean BL690-H,P2 Mean BL690-H,P3 Mean BL690-H,P1 Mean BL690-H,Bac Mean BL690-H,All Events  rSD BL525-H,HB rSD BL525-H,Time rSD BL525-H,Cells rSD BL525-H,P2 rSD BL525-H,P3 rSD BL525-H,P1 rSD BL525-H,Bac rSD BL525-H
H8 L_T10_R1_2(1),2020-05-28 16:49,30,1256.08,727.31,1282.75,1230.61,1251.11,58.63,3.67,799.54,37682,21819,37186,36918,37533,1759,110,23986,100.00%,90.97%,98.68%,99.28%,99.60%,7.33%,0.46%,64.97%,100.00%,57.90%,98.68%,97.97%,99.60%,4.67%,0.29%,63.65%,3348.8,3017.9,2954.1,2967.2,3242.2,3298.4,4193.7,3052.7,224668.4,242909.6,215679.5,216834.6,221672.9,27612.3,189559.5,224678.9,6700.4,5881.8,5895.1,5926.7,6369.3,3051.2,53679.9,5902.7,113149.7,80625.4,112088.1,110695.2,113343.9,10578.6,53189.1,92667.3
H9 L_T10_R2_2(1),2020-05-28 16:50,30,452.83,257.5,443.23,422.4,452.23,3.5,1.47,266.6,13585,7725,12849,12672,13567,105,44,7998,100.00%,96.59%,94.58%,98.62%,99.87%,1.31%,0.55%,63.12%,100.00%,56.86%,94.58%,93.28%,99.87%,0.77%,0.32%,58.87%,4145.8,2906.5,3004.4,3033.2,3752.9,4046.3,4175,2943.5,214106.2,221802.1,206532.4,207705.5,210369.2,53398,195569.2,217581.5,8818.2,5256.7,5785.9,5825,7544.7,5625.8,69905.2,5665.2,141172.5,142556.1,139940.1,139894,141009,22345.7,81905.9,143154.7
H10 L_T11_R1_2(1),2020-05-28 16:51,30,1369.17,799.37,1406.35,1348.23,1363.13,100,2.03,915.2,41075,23981,40769,40447,40894,3000,61,27456,100.00%,87.34%,99.26%,99.21%,99.56%,10.93%,0.22%,67.88%,100.00%,58.38%,99.26%,98.47%,99.56%,7.30%,0.15%,66.84%,3258.1,3009.9,2896.9,2912.8,3126.7,2853.9,3703,2998.1,241961.9,269434.7,231293.6,232693.5,237490.2,25338.9,195788.8,239337.2,6872.2,6556.9,6179.5,6215.3,6555.5,2669.7,59612.8,6225.8,153879.8,94062.2,152011,149670.3,154120.4,7561.9,46888.8,119463.8
H11 L_T11_R2_2(1),2020-05-28 16:53,30,2485.11,1539.41,2461.39,2365.81,2462.81,76.33,3.6,1631.64,74553,46182,71354,70974,73884,2290,108,48949,100.00%,94.35%,95.71%,99.47%,99.10%,4.68%,0.22%,68.97%,100.00%,61.95%,95.71%,95.20%,99.10%,3.07%,0.14%,65.66%,3403.4,3133.2,3038.4,3049.7,3191.3,3163.1,4025.4,3140,260195.2,268117.3,250866.4,251736.4,254818.9,27218.9,192655.4,255100.1,7402.9,6514.5,6491.3,6513.3,6770.5,3233.1,68208.1,6490.3,80400.7,66700.5,79799.7,79326.1,80461.6,9430.2,49685.7,72153.1
H12 L_T0_2(1),2020-05-28 16:54,30,391.2,140.58,379.52,355.93,390.74,18.1,3.27,172.65,11735,4217,11002,10677,11721,543,98,5179,100.00%,81.42%,93.75%,97.05%,99.88%,10.48%,1.89%,48.51%,100.00%,35.94%,93.75%,90.98%,99.88%,4.63%,0.84%,44.13%,4069.8,2631.8,2831.2,2869.3,3716.4,3517.1,3966.4,2814.7,85899.8,90066,74886.1,76296,82758.8,30998.2,163814.7,83641.3,6238,2674.6,3842.4,3932.2,4986.9,3424.9,55924.4,4022.1,41923.3,48864.6,40913.7,41777,41858.2,11895.9,40354.1,47435.5
03-A1 ddH2O,2020-05-28 17:03,30,24.2,8.43,22.59,21.63,24.13,2.37,0.03,11.93,726,253,655,649,724,71,1,358,100.00%,70.67%,90.22%,99.08%,99.72%,19.83%,0.28%,55.16%,100.00%,34.85%,90.22%,89.39%,99.72%,9.78%,0.14%,49.31%,3631.6,2903.6,3063.7,3077.7,3624.3,3060.3,2869.6,2943.7,103616.6,156885.4,103609.7,104374.5,103419.1,22466.7,150954.4,117985,4908.1,4775.7,4187.5,4219.1,4907.9,3412.5,13493,4404.8,58194.9,133257.1,54998.7,56650.4,57250.7,6450.2,0,72316.4
03-A2 0.2um beads,2020-05-28 17:06,30,42.77,14.97,42.08,40.47,42.73,2,0,20.23,1283,449,1220,1214,1282,60,0,607,100.00%,73.97%,95.09%,99.51%,99.92%,9.88%,0.00%,50.00%,100.00%,35.00%,95.09%,94.62%,99.92%,4.68%,0.00%,47.31%,3810.3,2491.9,2348.6,2356.6,3811.3,2942.8,####,2529.7,68178.9,74162.8,66796.9,66900.2,68190.1,18160.6,####,69148,1675.7,1421.3,1405.4,1409.5,1676.5,2984.6,####,1623.7,7979.6,7190.5,7827.2,7862.2,8007.7,6074.6,####,8815.5
03 A3 1.0um beads,2020-05-28 17:09,30,69.54,3.9,68.74,66.03,47.69,2.03,0,6.84,2085,117,1992,1980,1430,61,0,205,100.00%,57.07%,95.54%,99.40%,68.59%,29.76%,0.00%,10.35%,100.00%,5.61%,95.54%,94.96%,68.59%,2.93%,0.00%,9.83%,15964.8,2908.8,14998.9,15077.8,6228.1,2980.2,####,3007.7,2453355,131445.7,2467034,2481681.3,1018370.1,22780.3,####,158374.7,21049.2,3830,20865.4,20983.8,6874.2,3254.8,####,3856.9,1559688.8,90278.9,1558256.9,1554788.9,194607.7,5934.3,####,86933.1
03-A4 1.8um beads,2020-05-28 17:11,30,24.37,5.37,24.56,23.6,15.57,1.67,0.03,8.9,731,161,712,708,467,50,1,267,100.00%,60.30%,97.40%,99.44%,63.89%,18.73%,0.37%,37.71%,100.00%,22.02%,97.40%,96.85%,63.89%,6.84%,0.14%,36.53%,40295,3118.5,39555,39518.5,6449.5,3256.3,3492.3,3130.1,2128679.8,123749.4,2104267.8,2116017.8,129161.1,26520.7,223826.9,88945.5,91511.6,3666.9,90414.3,90899.3,5429.5,4096.8,20347.7,4313.8,221899.6,109145.7,216178,221587.7,44169.5,9672.3,0,43969
03-A5 0.2+1+1.8um beads,2020-05-28 17:15,30,44.87,7.77,32.08,30.87,34.2,1.87,0,12.17,1346,233,930,926,1026,56,0,365,100.00%,63.84%,69.09%,99.57%,76.23%,15.34%,0.00%,39.42%,100.00%,17.31%,69.09%,68.80%,76.23%,4.16%,0.00%,27.12%,19644.5,2672.2,3660.7,3671,7506,3163.7,####,2790.2,1581735.5,95973.4,380035.2,381577.6,428357.8,20667.3,####,94847.2,32777.7,2298,4104.9,4118.3,5541,3074.1,####,2979.6,215100.9,34727.7,66308.7,66495.2,67490.4,4474.8,####,47809.8
